,WELL_NAME,Simulated
0,OBS1,-0.1166561385
1,OBS1,-0.1166561598
2,OBS1,-0.1166561819
3,OBS1,-0.1166562046
4,OBS1,-0.1166562275
5,OBS1,-0.1166562505
6,OBS1,-0.1166562734
7,OBS1,-0.1166562961
8,OBS1,-0.1166563184
9,OBS1,-0.1166563404
10,OBS1,-0.1166563619
11,OBS1,-0.116656383
12,OBS1,-0.1166564036
13,OBS1,-0.1166564237
14,OBS1,-0.1166564433
15,OBS1,-0.1166564625
16,OBS1,-0.1166564812
17,OBS1,-0.1166564995
18,OBS1,-0.1166565173
19,OBS1,-0.1166565346
20,OBS1,-0.1166565516
21,OBS1,-0.1166565681
22,OBS1,-0.1166565843
23,OBS1,-0.1166566001
24,OBS1,-0.1166566156
25,OBS1,-0.1166566307
26,OBS1,-0.1166566454
27,OBS1,-0.1166566599
28,OBS1,-0.1166566741
29,OBS1,-0.1166566879
30,OBS1,-0.1166567015
31,OBS1,-0.1166567149
32,OBS1,-0.116656728
33,OBS1,-0.1166567409
34,OBS1,-0.1166567535
35,OBS1,-0.1166567659
36,OBS1,-0.1166567781
37,OBS1,-0.1166567902
38,OBS1,-0.116656802
39,OBS1,-0.1166568136
40,OBS1,-0.1166568251
41,OBS1,-0.1166568365
42,OBS1,-0.1166568476
43,OBS1,-0.1166568587
44,OBS1,-0.1166568695
45,OBS1,-0.1166568803
46,OBS1,-0.1166568909
47,OBS1,-0.1166569014
48,OBS1,-0.1166569118
49,OBS1,-0.116656922
50,OBS1,-0.1166569322
51,OBS1,-0.1166569422
52,OBS1,-0.1166569522
53,OBS1,-0.116656962
54,OBS1,-0.1166569718
55,OBS1,-0.1166569815
56,OBS1,-0.1166569911
57,OBS1,-0.1166570006
58,OBS1,-0.11665701
59,OBS1,-0.1166570194
60,OBS1,-0.1166570287
61,OBS1,-0.1166570379
62,OBS1,-0.1166570471
63,OBS1,-0.1166570561
64,OBS1,-0.1166570652
65,OBS1,-0.1166570741
66,OBS1,-0.1166570831
67,OBS1,-0.1166570919
68,OBS1,-0.1166571007
69,OBS1,-0.1166571095
70,OBS1,-0.1166571182
71,OBS1,-0.1166571268
72,OBS1,-0.1166571354
73,OBS1,-0.116657144
74,OBS1,-0.1166571525
75,OBS1,-0.116657161
76,OBS1,-0.1166571695
77,OBS1,-0.1166571779
78,OBS1,-0.1166571862
79,OBS1,-0.1166571945
80,OBS1,-0.1166572028
81,OBS1,-0.1166572111
82,OBS1,-0.1166572193
83,OBS1,-0.1166572275
84,OBS1,-0.1166572356
85,OBS1,-0.1166572438
86,OBS1,-0.1166572518
87,OBS1,-0.1166572599
88,OBS1,-0.1166572679
89,OBS1,-0.1166572759
90,OBS1,-0.1166572839
91,OBS1,-0.1166572918
92,OBS1,-0.1166572998
93,OBS1,-0.1166573077
94,OBS1,-0.1166573155
95,OBS1,-0.1166573234
96,OBS1,-0.1166573312
97,OBS1,-0.116657339
98,OBS1,-0.1166573467
99,OBS1,-0.1166573545
100,OBS1,-0.1166573622
101,OBS1,-0.1166573699
102,OBS1,-0.1166573776
103,OBS1,-0.1166573852
104,OBS1,-0.1166573929
105,OBS1,-0.1166574005
106,OBS1,-0.1166574081
107,OBS1,-0.1166574156
108,OBS1,-0.1166574232
109,OBS1,-0.1166574307
110,OBS1,-0.1166574382
111,OBS1,-0.1166574457
112,OBS1,-0.1166574532
113,OBS1,-0.1166574606
114,OBS1,-0.1166574681
115,OBS1,-0.1166574755
116,OBS1,-0.1166574829
117,OBS1,-0.1166574903
118,OBS1,-0.1166574976
119,OBS1,-0.116657505
120,OBS1,-0.1166575123
121,OBS1,-0.1166575196
122,OBS1,-0.1166575269
123,OBS1,-0.1166575342
124,OBS1,-0.1166575414
125,OBS1,-0.1166575487
126,OBS1,-0.1166575559
127,OBS1,-0.1166575631
128,OBS1,-0.1166575703
129,OBS1,-0.1166575775
130,OBS1,-0.1166575846
131,OBS1,-0.1166575918
132,OBS1,-0.1166575989
133,OBS1,-0.116657606
134,OBS1,-0.1166576131
135,OBS1,-0.1166576202
136,OBS1,-0.1166576272
137,OBS1,-0.1166576343
138,OBS1,-0.1166576413
139,OBS1,-0.1166576483
140,OBS1,-0.1166576553
141,OBS1,-0.1166576623
142,OBS1,-0.1166576693
143,OBS1,-0.1166576762
144,OBS1,-0.1166576832
145,OBS1,-0.1166576901
146,OBS1,-0.116657697
147,OBS1,-0.1166577039
148,OBS1,-0.1166577108
149,OBS1,-0.1166577177
150,OBS1,-0.1166577245
151,OBS1,-0.1166577314
152,OBS1,-0.1166577382
153,OBS1,-0.116657745
