time,OBS1,OBS2,OBS3,OBS5,OBS6,OBS7,OBS8,OBS9,OBS10,OBS11,OBS12,OBS13,OBS14,OBS15,OBS16,OBS17,OBS18,OBS19,OBS20,OBS4
20.00000000000,-0.1174826845,0.9259558210,-0.2978779540,3.712386348,0.9612305761,0.5575076527E-01,-0.7080660918,6.214043724,6.275594309,0.5573616203,-0.7273852072,6.453744393,4.664301857,2.422953691,-1.109129014,1.405676493,0.6761030434,0.4373820140,0.1365221392,6.164379091
21.00000000000,-0.1174826929,0.9259584772,-0.2978780118,3.712378991,0.9612302870,0.5575018583E-01,-0.7080661175,6.214039725,6.275585238,0.5573612092,-0.7273853007,6.453741446,4.664298638,2.422956698,-1.109129014,1.405677300,0.6761031740,0.4373820686,0.1366026921,6.164380516
22.00000000000,-0.1174827014,0.9259611064,-0.2978780686,3.712371663,0.9612300022,0.5574961674E-01,-0.7080661426,6.214035757,6.275576216,0.5573608046,-0.7273853941,6.453738518,4.664295446,2.422959668,-1.109129015,1.405678096,0.6761033051,0.4373821208,0.1364644957,6.164381910
23.00000000000,-0.1174827101,0.9259637093,-0.2978781245,3.712364363,0.9612297217,0.5574905780E-01,-0.7080661672,6.214031819,6.275567243,0.5573604064,-0.7273854872,6.453735610,4.664292283,2.422962601,-1.109129015,1.405678882,0.6761034365,0.4373821708,0.1361781515,6.164383273
24.00000000000,-0.1174827188,0.9259662862,-0.2978781796,3.712357091,0.9612294452,0.5574850879E-01,-0.7080661913,6.214027912,6.275558317,0.5573600146,-0.7273855802,6.453732721,4.664289148,2.422965498,-1.109129016,1.405679657,0.6761035682,0.4373822185,0.1358174941,6.164384606
25.00000000000,-0.1174827276,0.9259688295,-0.2978782329,3.712349854,0.9612291757,0.5574797881E-01,-0.7080662142,6.214024073,6.275549556,0.5573596356,-0.7273856719,6.453729844,4.664286075,2.422968336,-1.109129016,1.405680414,0.6761036987,0.4373822636,0.1354315613,6.164385903
26.00000000000,-0.1174827364,0.9259713528,-0.2978782854,3.712342634,0.9612289089,0.5574745568E-01,-0.7080662370,6.214020248,6.275540801,0.5573592610,-0.7273857637,6.453726983,4.664283019,2.422971148,-1.109129017,1.405681164,0.6761038298,0.4373823069,0.1350402989,6.164387175
27.00000000000,-0.1174827454,0.9259738538,-0.2978783371,3.712335438,0.9612286454,0.5574694047E-01,-0.7080662594,6.214016444,6.275532073,0.5573588913,-0.7273858555,6.453724138,4.664279984,2.422973930,-1.109129017,1.405681905,0.6761039613,0.4373823483,0.1346567389,6.164388419
28.00000000000,-0.1174827544,0.9259763319,-0.2978783881,3.712328267,0.9612283852,0.5574643357E-01,-0.7080662814,6.214012664,6.275523379,0.5573585270,-0.7273859471,6.453721311,4.664276973,2.422976679,-1.109129018,1.405682637,0.6761040930,0.4373823880,0.1342866653,6.164389634
29.00000000000,-0.1174827636,0.9259787841,-0.2978784386,3.712321150,0.9612281277,0.5574593048E-01,-0.7080663033,6.214008895,6.275514674,0.5573581649,-0.7273860389,6.453718515,4.664273973,2.422979396,-1.109129018,1.405683363,0.6761042255,0.4373824261,0.1395675727,6.164390819
