,Unnamed: 0,WELL_NAME,OBS,Latitude,Longitude,geometry,Simulated,Residual
0,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166561385,1.3358561385
1,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166561598,1.3358561598
2,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166561819,1.3358561819
3,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166562046,1.3358562046
4,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166562275,1.3358562275
5,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166562505,1.3358562505
6,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166562734,1.3358562734000001
7,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166562961,1.3358562961
8,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166563184,1.3358563184
9,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166563404,1.3358563404000001
10,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166563619,1.3358563619000001
11,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.116656383,1.335856383
12,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166564036,1.3358564036
13,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166564237,1.3358564237000001
14,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166564433,1.3358564433
15,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166564625,1.3358564625
16,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166564812,1.3358564812
17,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166564995,1.3358564995
18,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166565173,1.3358565173
19,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166565346,1.3358565346
20,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166565516,1.3358565516
21,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166565681,1.3358565681
22,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166565843,1.3358565843
23,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166566001,1.3358566001
24,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166566156,1.3358566156
25,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166566307,1.3358566307000002
26,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166566454,1.3358566454
27,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166566599,1.3358566599000001
28,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166566741,1.3358566741
29,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166566879,1.3358566879
30,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166567015,1.3358567015
31,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166567149,1.3358567149
32,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.116656728,1.335856728
33,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166567409,1.3358567409000002
34,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166567535,1.3358567535
35,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166567659,1.3358567659
36,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166567781,1.3358567781000001
37,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166567902,1.3358567902
38,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.116656802,1.3358568020000001
39,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568136,1.3358568136
40,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568251,1.3358568251
41,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568365,1.3358568365
42,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568476,1.3358568476000001
43,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568587,1.3358568587000001
44,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568695,1.3358568695000002
45,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568803,1.3358568803000002
46,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166568909,1.3358568909000001
47,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166569014,1.3358569014000001
48,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166569118,1.3358569118
49,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.116656922,1.335856922
50,0,OBS1,1.2192,113335.4797,195014.41348835616,POINT Z (195014.41348835616 113335.47970000001 4),-0.1166569322,1.3358569322
